fips,year,n_plans,bid_mean_unweighted,w_sum,wx_sum,bid_mean_weighted,hhi,market_type
08029,2018,143,813.3537062937063,1050.0,809103.0399999999,770.5743238095238,0.1885087207981952,middle
08031,2018,251,757.4640239043824,44185.0,30104599.65,681.3307604390629,0.1044550369301438,competitive
08033,2018,134,818.2705223880597,11.0,9526.0,866.0,0.5046826222684704,uncompetitive
08035,2018,249,752.9128915662651,17761.2,11971111.406,674.0035248744454,0.1373868240865491,competitive
08037,2018,143,808.2688811188812,88.0,75479.78,857.7247727272727,0.2088042831647828,middle
08039,2018,162,801.5548765432098,1263.0,871220.4199999999,689.8023911322248,0.1284505454833625,competitive
08041,2018,282,743.738475177305,33542.0,21640009.85,645.1615839842586,0.160780375897913,middle
08043,2018,181,782.4216574585636,4139.5,2685164.8200000003,648.6688778838025,0.2083882239389823,middle
08045,2018,142,810.6982394366197,77.0,66337.63,861.5276623376624,0.2520476385896515,uncompetitive
08047,2018,151,809.5657615894039,247.0,167098.37,676.5116194331983,0.2313989752728892,middle
08049,2018,144,810.8849305555555,137.0,101451.38,740.5210218978102,0.1586487239587601,middle
08051,2018,135,816.8462222222223,35.0,30182.57,862.3591428571428,0.1832470414201183,middle
08053,2018,133,817.8060902255639,0.0,0.0,,,middle
08055,2018,141,813.3207092198581,249.44444444444446,192875.3888888889,773.2198218262806,0.2800453514739229,uncompetitive
08057,2018,133,817.8060902255639,0.0,0.0,,,middle
08059,2018,251,762.1038247011952,55369.0,37238773.6,672.5563690873955,0.1532776196959786,middle
08061,2018,133,817.8060902255639,0.0,0.0,,,middle
08063,2018,133,817.8060902255639,0.0,0.0,,1.0,uncompetitive
08065,2018,136,815.5690441176471,12.5,10988.0,879.04,0.3378099173553719,uncompetitive
08067,2018,149,804.0109395973154,365.0,300453.60000000003,823.1605479452056,0.1590690006254395,middle
08069,2018,225,768.3348444444445,18196.0,12023931.7,660.8008188612881,0.1703119694477231,middle
08071,2018,142,811.4728169014085,551.0,418196.84,758.9779310344828,0.5805150220938514,uncompetitive
08073,2018,135,817.1451111111111,0.0,0.0,,1.0,uncompetitive
08075,2018,135,816.376888888889,346.0,261622.09000000003,756.1332080924856,0.5292186050664431,uncompetitive
08077,2018,167,791.5030538922156,3092.0,2386476.2,771.8228331177232,0.1772298860138242,middle
08079,2018,135,816.5393333333333,0.0,0.0,,,middle
08081,2018,136,816.2338970588235,0.0,0.0,,0.3008130081300813,uncompetitive
08083,2018,137,813.3505839416058,140.0,112060.22,800.4301428571429,0.2180132185833183,middle
08085,2018,146,810.6900684931506,953.0,743988.26,780.6802308499475,0.1499975637637975,middle
08087,2018,142,815.1169014084508,352.0,270742.18,769.1539204545454,0.4486504429843639,uncompetitive
08089,2018,144,812.0079861111111,587.0,452207.33999999997,770.3702555366268,0.4325674997310768,uncompetitive
08091,2018,140,813.4888571428571,15.0,12880.05,858.67,0.2534580755495196,uncompetitive
08093,2018,157,803.2349681528663,722.0,520143.47,720.4203185595568,0.169183309471232,middle
08095,2018,134,817.4025373134328,0.0,0.0,,,middle
08097,2018,137,814.0978102189781,0.0,0.0,,0.3905555555555555,uncompetitive
08099,2018,135,814.902,0.0,0.0,,0.500945179584121,uncompetitive
08101,2018,204,776.3525490196079,13477.0,8824351.04,654.771168657713,0.1694871998730905,middle
08103,2018,135,817.4673333333333,0.0,0.0,,0.3962053571428571,uncompetitive
08105,2018,139,812.7528776978417,30.0,26371.199999999997,879.0399999999998,0.1996,middle
08107,2018,138,815.8267391304347,70.0,60047.799999999996,857.8257142857142,0.1839798378259916,middle
08109,2018,136,815.5658823529412,0.0,0.0,,0.2469202571960819,uncompetitive
08111,2018,133,817.8060902255639,0.0,0.0,,,middle
08113,2018,138,810.9599275362319,0.0,0.0,,0.5102040816326531,uncompetitive
08115,2018,135,817.6335555555555,0.0,0.0,,1.0,uncompetitive
08117,2018,144,807.7495138888888,148.0,112247.09999999999,758.4263513513513,0.1331590487434643,competitive
08119,2018,173,785.103583815029,2117.0,1357950.09,641.4502078412849,0.2343114392810389,uncompetitive
08121,2018,134,817.4025373134328,0.0,0.0,,,middle
08123,2018,216,765.4012037037037,14833.333333333332,9653494.826666666,650.7974040449438,0.1497411463203671,middle
08125,2018,134,818.1039552238806,0.0,0.0,,1.0,uncompetitive
09001,2018,245,753.9542040816326,45480.0,34675206.18,762.4275765171504,0.0633233016206637,competitive
09003,2018,246,741.715894308943,79179.87777777777,60063292.663777776,758.5676354837067,0.0786311018340089,competitive
09005,2018,194,776.5560309278351,14562.0,11021027.89,756.8347678890262,0.0727005609062282,competitive
09007,2018,194,776.8306701030928,15703.0,11694191.1,744.7106349105267,0.1099040490463848,competitive
09009,2018,238,749.9264705882352,63970.0,47965394.894999996,749.8107690323588,0.0718098461714452,competitive
09011,2018,207,771.9702415458937,17968.0,13839719.38,770.2426191006234,0.1093436754107407,competitive
09013,2018,180,789.5730000000001,12916.0,9902962.0,766.7205017033137,0.1213550601782525,competitive
09015,2018,181,780.292817679558,8968.6,6876058.942,766.6814153825569,0.1293624985508461,competitive
10001,2018,183,799.4774863387978,4402.766666666666,3442003.154,781.7818691277455,0.0946710969890915,competitive
10003,2018,231,777.9414718614719,15982.0,12541386.73,784.719480040045,0.085729714853188,competitive
10005,2018,199,785.7181407035176,6845.0,5403252.55,789.372176771366,0.1080636935674149,competitive
11001,2018,204,786.6313235294118,11287.0,8561204.51,758.5013298484982,0.2591724050125804,uncompetitive
12001,2018,235,737.0922553191489,10327.0,6801830.170000001,658.645315193183,0.1066997488180471,competitive
12003,2018,170,783.7202352941176,1391.0,883330.74,635.0328828181165,0.1686149157005574,middle
12005,2018,245,740.8975102040816,9584.7,6372538.68,664.8657422767535,0.081075359318962,competitive
12007,2018,165,790.6456969696969,1667.0,1134717.4500000002,680.6943311337734,0.2023135864728674,middle
12009,2018,409,699.5985819070905,60094.75,38453600.915,639.8828668893706,0.083797177816652,competitive
12011,2018,563,666.7113143872114,177088.16666666666,94313556.15833333,532.5796631903694,0.1034999267652277,competitive
12013,2018,165,794.0389696969696,974.0,664148.64,681.877453798768,0.180638990520494,middle
12015,2018,336,719.7547023809524,23939.0,15834385.85,661.447255524458,0.0595331251240002,competitive
12017,2018,318,695.28,22206.0,12183758.31,548.6696527965415,0.0608354738948092,competitive
12019,2018,253,737.2532411067194,11559.545454545454,7130814.724242425,616.8767407232643,0.0892772046236032,competitive
12021,2018,327,733.8894495412844,23705.0,16435080.92,693.3170605357519,0.0829511720981795,competitive
12023,2018,195,764.0516923076923,4508.0,2864967.1,635.5295252883762,0.1179755166601187,competitive
12027,2018,187,778.7342245989304,2192.0,1501525.79,685.0026414233577,0.1364253953478007,competitive
12029,2018,154,801.4635064935065,1287.0,872497.81,677.9314763014763,0.2400047660695158,uncompetitive
12031,2018,376,693.8043617021277,61481.0,38585355.81,627.5980515931751,0.0601766604882772,competitive
12033,2018,258,742.4972868217054,22608.0,14385309.59,636.2928870311395,0.0624735953277848,competitive
12035,2018,256,739.521953125,15604.0,9562660.45,612.8339175852345,0.0867689178613914,competitive
12037,2018,164,794.4836585365854,938.0,641515.08,683.9179957356076,0.1762619439120523,middle
12039,2018,174,782.7368390804597,5552.0,3846561.2800000003,692.8244380403459,0.1093981662383164,competitive
12041,2018,155,799.904,1080.0,729357.84,675.3313333333333,0.1752932098765432,middle
12043,2018,185,773.4076756756757,862.0,572169.46,663.7696751740139,0.1665324958126266,middle
12045,2018,163,795.72,882.0,603591.19,684.3437528344671,0.1888127889099706,middle
12047,2018,155,798.4025806451613,729.0,495387.59,679.5440192043897,0.214038811457904,middle
12049,2018,181,779.509502762431,1484.0,966175.57,651.061704851752,0.1038389723992124,competitive
12051,2018,167,784.875628742515,1716.7083333333335,1151653.2645833334,670.8496966093056,0.2204984051301617,middle
12053,2018,341,688.7045747800587,32009.0,13929587.4,435.1772126589397,0.0622910315627405,competitive
12055,2018,274,722.3063503649635,11698.0,7789142.5,665.8524961531886,0.1034882229153301,competitive
12057,2018,488,675.985655737705,114964.0,64683984.71,562.6455647854981,0.0445184862782656,competitive
12059,2018,159,795.8835220125786,1164.0,768147.28,659.9203436426117,0.1571186895831155,middle
12061,2018,282,725.6641843971631,13937.0,8937006.08,641.2431714142211,0.0680113216039485,competitive
12063,2018,164,788.400731707317,2865.7666666666664,1822288.45,635.8816547055471,0.2000549385037396,middle
12065,2018,164,791.8169512195121,1690.0,1189562.24,703.8829822485206,0.1439732502363362,competitive
12067,2018,152,801.9384868421052,237.0,159356.3,672.3894514767932,0.269169826772775,uncompetitive
12069,2018,366,696.283306010929,39300.0,22219481.91,565.3812190839694,0.064059766532239,competitive
12071,2018,452,699.6584513274336,65097.83333333333,43029061.58083333,660.9906870556367,0.0746413894422161,competitive
12073,2018,205,758.1054634146341,21340.0,15483341.69,725.5549058106841,0.1882276420764715,middle
12075,2018,185,778.3790810810812,3810.0,2563893.38,672.9378950131234,0.1668128491812539,middle
12077,2018,158,799.4003164556962,572.0,394566.97000000003,689.8023951048951,0.1516295385436624,middle
12079,2018,162,796.5695061728395,1269.0,853153.62,672.3038770685579,0.1955580146315018,middle
12081,2018,401,703.4070822942643,35975.0,21016823.43,584.2063496872828,0.0448278699747142,competitive
12083,2018,373,695.9712868632708,51709.0,27930763.34,540.1528426386122,0.067505527796972,competitive
12085,2018,261,734.7867816091954,13074.666666666668,8529434.323333334,652.3634246889659,0.0847061662773007,competitive
12086,2018,476,664.2240546218488,316008.875,152306075.895,481.96771655542904,0.0684364989795806,competitive
12087,2018,188,779.8814893617022,1822.0,1291634.44,708.9102305159165,0.2122098190669267,middle
12089,2018,194,764.3907216494845,6175.0,4066018.13,658.4644744939271,0.1288909636283171,competitive
12091,2018,219,761.062100456621,7227.333333333334,4811208.766666667,665.6962595701503,0.0995043734421168,competitive
12093,2018,196,767.7315306122449,3174.0,1986296.94,625.802438563327,0.2145043475084462,middle
12095,2018,466,669.8025321888412,90108.76904761905,50676423.16990476,562.3916929008785,0.0472654565654939,competitive
