fips,year,plan_count
26007,2014,15
26009,2014,23
26011,2014,23
26013,2014,10
26015,2014,29
26017,2014,28
26019,2014,17
26021,2014,28
26023,2014,25
26025,2014,38
26027,2014,29
26029,2014,23
26031,2014,20
26033,2014,16
26035,2014,29
26037,2014,31
26039,2014,19
26041,2014,13
26043,2014,15
26045,2014,30
26047,2014,20
26049,2014,55
26051,2014,27
26053,2014,13
26055,2014,29
26057,2014,26
26059,2014,27
26061,2014,14
26063,2014,26
26065,2014,39
26067,2014,22
26069,2014,25
26071,2014,13
26073,2014,25
26075,2014,36
26077,2014,47
26079,2014,21
26081,2014,49
26083,2014,11
26085,2014,19
26087,2014,30
26089,2014,16
26091,2014,30
26093,2014,38
26095,2014,12
26097,2014,15
26099,2014,62
26101,2014,23
26103,2014,18
26105,2014,20
26107,2014,20
26109,2014,12
26111,2014,25
26113,2014,17
26115,2014,48
26117,2014,30
26119,2014,19
26121,2014,38
26123,2014,21
26125,2014,99
26127,2014,22
26129,2014,22
26131,2014,14
26133,2014,23
26135,2014,14
26137,2014,20
26139,2014,40
26141,2014,17
26143,2014,21
26145,2014,33
26147,2014,34
26149,2014,24
26151,2014,25
26153,2014,12
26155,2014,29
26157,2014,24
26159,2014,39
26161,2014,54
26163,2014,106
26165,2014,21
27001,2014,31
27003,2014,39
27005,2014,30
27007,2014,31
27009,2014,33
27011,2014,29
27013,2014,30
27015,2014,31
27017,2014,31
27019,2014,33
27021,2014,30
27023,2014,29
27025,2014,33
27027,2014,31
27029,2014,30
27031,2014,27
27033,2014,30
27035,2014,36
27037,2014,42
27039,2014,32
27041,2014,32
27043,2014,31
27045,2014,34
27047,2014,31
27049,2014,34
27051,2014,31
27053,2014,63
27055,2014,35
27057,2014,31
27059,2014,30
27061,2014,30
27063,2014,31
27065,2014,30
27067,2014,30
27069,2014,29
27071,2014,29
27073,2014,30
27075,2014,29
27077,2014,28
27079,2014,32
27081,2014,29
27083,2014,30
27085,2014,30
27087,2014,30
27089,2014,29
27091,2014,31
27093,2014,31
27095,2014,31
27097,2014,33
27099,2014,30
27101,2014,29
27103,2014,32
27105,2014,31
27107,2014,30
27109,2014,36
27111,2014,33
27113,2014,29
27115,2014,30
27117,2014,29
27119,2014,32
27121,2014,31
27123,2014,50
27125,2014,29
27127,2014,29
27129,2014,31
27131,2014,34
27133,2014,33
27135,2014,31
27137,2014,34
27139,2014,34
27141,2014,33
27143,2014,31
27145,2014,38
27147,2014,33
27149,2014,28
27151,2014,30
27153,2014,34
27155,2014,29
27157,2014,33
27159,2014,33
27161,2014,32
27163,2014,38
27165,2014,29
27167,2014,29
27169,2014,36
27171,2014,35
27173,2014,28
28001,2014,9
28003,2014,9
28005,2014,4
28007,2014,16
28009,2014,5
28011,2014,9
28013,2014,5
28015,2014,7
28017,2014,4
28019,2014,5
28021,2014,11
28023,2014,8
28025,2014,6
28027,2014,8
28029,2014,12
28031,2014,11
28033,2014,25
28035,2014,16
28037,2014,4
28039,2014,11
28041,2014,6
28043,2014,12
28045,2014,22
28047,2014,38
28049,2014,36
28051,2014,9
28053,2014,7
28055,2014,6
28057,2014,3
28059,2014,29
28061,2014,7
28063,2014,9
28065,2014,6
28067,2014,16
28069,2014,6
28071,2014,12
28073,2014,14
28075,2014,15
28077,2014,8
28079,2014,9
28081,2014,12
28083,2014,6
28085,2014,8
28087,2014,10
28089,2014,21
28091,2014,13
28093,2014,17
28095,2014,8
28097,2014,7
28099,2014,9
28101,2014,10
28103,2014,5
28105,2014,6
28107,2014,9
28109,2014,19
28111,2014,9
28113,2014,15
28115,2014,7
28117,2014,5
28119,2014,9
28121,2014,27
28123,2014,13
28125,2014,6
28127,2014,9
28129,2014,11
28131,2014,9
28133,2014,7
28135,2014,7
28137,2014,14
28139,2014,6
28141,2014,5
28143,2014,10
28145,2014,6
28147,2014,9
28149,2014,15
28151,2014,15
28153,2014,9
28155,2014,3
28157,2014,6
28159,2014,4
28161,2014,6
28163,2014,8
29001,2014,14
29003,2014,7
29005,2014,10
29007,2014,16
29009,2014,33
29011,2014,17
29013,2014,15
29015,2014,31
29017,2014,13
29019,2014,33
29021,2014,14
29023,2014,12
29025,2014,12
29027,2014,21
29029,2014,19
29031,2014,16
29033,2014,11
29035,2014,9
29037,2014,39
29039,2014,28
29041,2014,10
29043,2014,39
29045,2014,12
29047,2014,48
29049,2014,11
29051,2014,26
29053,2014,19
29055,2014,19
29057,2014,22
29059,2014,27
29061,2014,9
29063,2014,11
29065,2014,11
29067,2014,26
29069,2014,11
29071,2014,29
29073,2014,18
29075,2014,10
29077,2014,61
29079,2014,11
29081,2014,8
29083,2014,26
29085,2014,21
29087,2014,8
29089,2014,20
29091,2014,17
29093,2014,12
29095,2014,81
29097,2014,39
29099,2014,38
29101,2014,21
29103,2014,15
29105,2014,33
29107,2014,19
29109,2014,32
29111,2014,10
29113,2014,21
29115,2014,13
29117,2014,14
29119,2014,16
29121,2014,11
29123,2014,12
29125,2014,13
29127,2014,15
29129,2014,10
29131,2014,19
29133,2014,9
29135,2014,14
29137,2014,8
29139,2014,17
29141,2014,24
29143,2014,10
29145,2014,31
29147,2014,10
29149,2014,9
29151,2014,13
29153,2014,25
29155,2014,15
29157,2014,14
29159,2014,19
29161,2014,22
29163,2014,16
29165,2014,27
29167,2014,32
29169,2014,22
29171,2014,10
29173,2014,12
29175,2014,16
29177,2014,18
29179,2014,10
29181,2014,10
29183,2014,61
29185,2014,21
29186,2014,13
29187,2014,20
29189,2014,81
29195,2014,13
29197,2014,11
29199,2014,9
29201,2014,11
29203,2014,11
29205,2014,16
29207,2014,11
29209,2014,32
29211,2014,11
29213,2014,36
29215,2014,22
29217,2014,21
29219,2014,25
29221,2014,21
29223,2014,14
29225,2014,27
29227,2014,7
29229,2014,25
29510,2014,49
30001,2014,5
30003,2014,6
30005,2014,6
30007,2014,6
30009,2014,11
30011,2014,2
30013,2014,16
30015,2014,7
30017,2014,8
30019,2014,2
30021,2014,5
30023,2014,6
30025,2014,2
30027,2014,7
30029,2014,19
30031,2014,14
30033,2014,3
30035,2014,5
30037,2014,9
30039,2014,7
30041,2014,7
30043,2014,5
30045,2014,7
30047,2014,13
30049,2014,10
30051,2014,5
30053,2014,11
30057,2014,7
30059,2014,2
30061,2014,6
30063,2014,16
30065,2014,8
30067,2014,6
30069,2014,2
30071,2014,4
30073,2014,6
30075,2014,3
30077,2014,6
30079,2014,4
30081,2014,16
30083,2014,3
30085,2014,2
30087,2014,8
30089,2014,7
30091,2014,2
30093,2014,11
30095,2014,7
30097,2014,6
30099,2014,8
30101,2014,7
30103,2014,8
30105,2014,3
30107,2014,9
30111,2014,23
31001,2014,7
31005,2014,2
31007,2014,3
31009,2014,3
31011,2014,4
31013,2014,3
31017,2014,1
31019,2014,8
31021,2014,7
31023,2014,5
31025,2014,10
31027,2014,3
31033,2014,3
31037,2014,5
31039,2014,7
31043,2014,7
31045,2014,3
31047,2014,4
31051,2014,7
31053,2014,8
31055,2014,34
31059,2014,1
31063,2014,1
31067,2014,4
31069,2014,1
31071,2014,1
31073,2014,3
31079,2014,8
31081,2014,2
31085,2014,1
31091,2014,3
31095,2014,2
31097,2014,3
31099,2014,3
31101,2014,2
31103,2014,3
31105,2014,1
31107,2014,3
31109,2014,17
31111,2014,5
31113,2014,2
31115,2014,2
31117,2014,3
31119,2014,5
31121,2014,2
31123,2014,3
31125,2014,2
31127,2014,2
31129,2014,1
31131,2014,7
31135,2014,3
31139,2014,1
31141,2014,5
31149,2014,1
31151,2014,2
31153,2014,21
31155,2014,10
31157,2014,5
31159,2014,4
31161,2014,2
31163,2014,3
31165,2014,1
31167,2014,4
31169,2014,2
31171,2014,2
31173,2014,4
31177,2014,12
31179,2014,2
31181,2014,1
31183,2014,3
32001,2014,12
32003,2014,159
32005,2014,18
32007,2014,3
32009,2014,2
32011,2014,1
32013,2014,2
32019,2014,19
32021,2014,3
32023,2014,24
32027,2014,3
32029,2014,11
32031,2014,53
32033,2014,3
32510,2014,14
33001,2014,12
33003,2014,9
33005,2014,17
33007,2014,6
33009,2014,10
33011,2014,26
33013,2014,20
33015,2014,30
33017,2014,17
33019,2014,7
34001,2014,26
34003,2014,58
34005,2014,39
34007,2014,47
34009,2014,22
34011,2014,17
34013,2014,55
34015,2014,31
34017,2014,59
34019,2014,20
34021,2014,33
34023,2014,57
34025,2014,73
34027,2014,51
34029,2014,69
34031,2014,51
34033,2014,17
34035,2014,35
