fips,year,ma_total_from_plans,sumsq_enroll,hhi,ma_enrollment,eligibles,ma_share,plan_count,ffs_cost,ffs_quartile,treated_competitive,control_uncompetitive,treated
06089,2018,575.0,106163.0,0.3210979206049149,861.0,48566.0,0.0177284520034592,392,,,0,1,0
06091,2018,16.0,256.0,1.0,31.0,959.0,0.0323253388946819,390,,,0,1,0
06093,2018,917.0,490071.0,0.5828010593550397,1039.0,13597.0,0.0764139148341545,393,,,0,1,0
06095,2018,33435.0,386152909.0,0.3454272982432741,32625.0,78766.0,0.4142015590483203,485,,,0,1,0
06099,2018,39168.0,140337232.0,0.0914766209877878,38491.0,86807.0,0.4434089416752105,535,,,1,0,1
06103,2018,152.0,9010.0,0.3899757617728532,266.0,15044.0,0.017681467694762,380,,,0,1,0
06105,2018,180.0,15686.0,0.4841358024691358,236.0,3765.0,0.0626826029216467,380,,,0,1,0
06107,2018,10847.0,35737179.0,0.3037392995795105,10595.0,62123.0,0.1705487500603641,498,,,0,1,0
06109,2018,373.0,40633.0,0.2920526992934614,758.0,16025.0,0.0473010920436817,384,,,0,1,0
06111,2018,52489.0,403678469.0,0.1465207011994124,47323.0,146369.0,0.3233129966044722,556,,,1,0,1
06113,2018,13047.0,19012503.0,0.1116909463800181,12842.0,31474.0,0.4080193175319311,452,,,1,0,1
06115,2018,854.0,171194.0,0.2347322696883106,858.0,12897.0,0.0665270993254245,409,,,0,1,0
08001,2018,32162.0,141496100.0,0.1367912677596067,31849.0,63642.0,0.5004399610320229,503,,,1,0,1
08003,2018,479.0,69017.0,0.3008049999782079,528.0,2952.0,0.1788617886178861,393,,,0,1,0
08005,2018,40770.0,222595262.0,0.1339166242377765,40192.0,95141.0,0.4224466843947404,525,,,1,0,1
08011,2018,11.0,121.0,1.0,43.0,1116.0,0.0385304659498207,388,,,0,1,0
08013,2018,19176.0,49487646.0,0.1345800712770395,18870.0,51919.0,0.3634507598374391,475,,,1,0,1
08014,2018,5001.0,3477897.0,0.139060250337455,4948.0,11072.0,0.446893063583815,456,,,1,0,1
08019,2018,589.0,44597.0,0.1285508804598165,645.0,1959.0,0.3292496171516079,405,,,1,0,1
08021,2018,424.0,58154.0,0.3234803310786757,475.0,1920.0,0.2473958333333333,389,,,0,1,0
08023,2018,215.0,11353.0,0.2456030286641427,265.0,1263.0,0.2098178939034045,395,,,0,1,0
08025,2018,74.0,5476.0,1.0,118.0,888.0,0.1328828828828828,389,,,0,1,0
08027,2018,255.0,27563.0,0.4238831218762015,312.0,1721.0,0.1812899477048228,391,,,0,1,0
08031,2018,45079.0,212264777.0,0.1044550369301438,44743.0,94736.0,0.472291420368181,510,,,1,0,1
08033,2018,31.0,485.0,0.5046826222684704,55.0,570.0,0.0964912280701754,383,,,0,1,0
08035,2018,17840.0,43725500.0,0.1373868240865491,17313.0,43959.0,0.3938442639732478,523,,,1,0,1
08039,2018,1348.0,233408.0,0.1284505454833625,1349.0,4582.0,0.2944129201222173,432,,,1,0,1
08045,2018,684.0,117922.0,0.2520476385896515,772.0,8564.0,0.0901447921531994,391,,,0,1,0
08055,2018,336.0,31616.0,0.2800453514739229,414.0,2461.0,0.1682242990654205,393,,,0,1,0
08063,2018,19.0,361.0,1.0,50.0,1515.0,0.033003300330033,382,,,0,1,0
08065,2018,44.0,654.0,0.3378099173553719,82.0,1075.0,0.0762790697674418,385,,,0,1,0
08071,2018,637.0,235555.0,0.5805150220938514,723.0,4203.0,0.1720199857244825,394,,,0,1,0
08073,2018,11.0,121.0,1.0,38.0,1058.0,0.0359168241965973,384,,,0,1,0
08075,2018,449.0,106691.0,0.5292186050664431,492.0,4201.0,0.1171149726255653,384,,,0,1,0
08081,2018,123.0,4551.0,0.3008130081300813,151.0,2300.0,0.0656521739130434,385,,,0,1,0
08087,2018,418.0,78390.0,0.4486504429843639,476.0,5023.0,0.094764085208043,404,,,0,1,0
08089,2018,668.0,193022.0,0.4325674997310768,772.0,4706.0,0.1640458988525286,396,,,0,1,0
08091,2018,141.0,5039.0,0.2534580755495196,185.0,1370.0,0.1350364963503649,389,,,0,1,0
08097,2018,60.0,1406.0,0.3905555555555555,115.0,3037.0,0.0378663154428712,386,,,0,1,0
08099,2018,23.0,265.0,0.500945179584121,55.0,2495.0,0.0220440881763527,387,,,0,1,0
08103,2018,112.0,4970.0,0.3962053571428571,138.0,1114.0,0.1238779174147217,384,,,0,1,0
08109,2018,129.0,4109.0,0.2469202571960819,173.0,1319.0,0.1311599696739954,388,,,0,1,0
